article_id,article_version,last_updated,r_ncd_id,r_ncd_version,related_num,source_article_id,url
59060,4,04/29/2025,0,1,1,59060,/data/ncd?ncdid=0&ncdver=1
52837,21,04/29/2025,0,1,1,52837,/data/ncd?ncdid=0&ncdver=1
59105,36,07/13/2025,158,1,1,59105,/data/ncd?ncdid=158&ncdver=1
60507,2,07/24/2026,0,1,1,60507,/data/ncd?ncdid=0&ncdver=1
57141,47,04/29/2025,0,1,1,57141,/data/ncd?ncdid=0&ncdver=1
52840,3,04/29/2025,1,1,1,52840,/data/ncd?ncdid=1&ncdver=1
52841,4,04/29/2025,0,1,1,52841,/data/ncd?ncdid=0&ncdver=1
52842,18,04/29/2025,0,1,1,52842,/data/ncd?ncdid=0&ncdver=1
56781,39,04/29/2025,263,1,1,56781,/data/ncd?ncdid=263&ncdver=1
56551,34,04/29/2025,261,1,1,56551,/data/ncd?ncdid=261&ncdver=1
52870,38,04/29/2025,0,1,1,52870,/data/ncd?ncdid=0&ncdver=1
57455,24,04/29/2025,202,1,1,57455,/data/ncd?ncdid=202&ncdver=1
57736,18,04/29/2025,0,1,1,57736,/data/ncd?ncdid=0&ncdver=1
57060,12,04/29/2025,0,1,1,57060,/data/ncd?ncdid=0&ncdver=1
56845,12,04/29/2025,0,1,1,56845,/data/ncd?ncdid=0&ncdver=1
57889,4,04/29/2025,263,1,1,57889,/data/ncd?ncdid=263&ncdver=1
59487,15,04/29/2025,373,1,1,59487,/data/ncd?ncdid=373&ncdver=1
52866,35,04/29/2025,89,1,1,52866,/data/ncd?ncdid=89&ncdver=1
52866,35,04/29/2025,192,1,2,52866,/data/ncd?ncdid=192&ncdver=1
52866,35,04/29/2025,274,1,3,52866,/data/ncd?ncdid=274&ncdver=1
52866,35,04/29/2025,237,1,4,52866,/data/ncd?ncdid=237&ncdver=1
52868,46,04/29/2025,263,1,1,52868,/data/ncd?ncdid=263&ncdver=1
53018,14,04/29/2025,0,1,1,53018,/data/ncd?ncdid=0&ncdver=1
54909,25,04/29/2025,0,1,1,54909,/data/ncd?ncdid=0&ncdver=1
56537,41,04/29/2025,263,1,1,56537,/data/ncd?ncdid=263&ncdver=1
54602,25,04/29/2025,0,1,1,54602,/data/ncd?ncdid=0&ncdver=1
56837,18,04/29/2025,64,1,1,56837,/data/ncd?ncdid=64&ncdver=1
56863,15,04/29/2025,81,1,1,56863,/data/ncd?ncdid=81&ncdver=1
56863,15,04/29/2025,108,1,2,56863,/data/ncd?ncdid=108&ncdver=1
56863,15,04/29/2025,191,1,3,56863,/data/ncd?ncdid=191&ncdver=1
56874,29,04/29/2025,0,1,1,56874,/data/ncd?ncdid=0&ncdver=1
57427,11,04/29/2025,263,1,1,57427,/data/ncd?ncdid=263&ncdver=1
57428,10,04/29/2025,177,1,1,57428,/data/ncd?ncdid=177&ncdver=1
57528,5,04/29/2025,346,1,1,57528,/data/ncd?ncdid=346&ncdver=1
58656,9,04/29/2025,101,1,1,58656,/data/ncd?ncdid=101&ncdver=1
58656,9,04/29/2025,372,1,2,58656,/data/ncd?ncdid=372&ncdver=1
60176,18,10/23/2025,0,1,1,60176,/data/ncd?ncdid=0&ncdver=1
52450,83,04/29/2025,0,1,1,52450,/data/ncd?ncdid=0&ncdver=1
57759,36,04/29/2025,171,1,1,57759,/data/ncd?ncdid=171&ncdver=1
52863,59,04/29/2025,0,1,1,52863,/data/ncd?ncdid=0&ncdver=1
59233,19,04/29/2025,0,1,1,59233,/data/ncd?ncdid=0&ncdver=1
56550,12,04/29/2025,69,1,1,56550,/data/ncd?ncdid=69&ncdver=1
56178,21,04/29/2025,0,1,1,56178,/data/ncd?ncdid=0&ncdver=1
56823,22,04/29/2025,201,1,1,56823,/data/ncd?ncdid=201&ncdver=1
56865,29,04/29/2025,26,1,1,56865,/data/ncd?ncdid=26&ncdver=1
56865,29,04/29/2025,30,1,2,56865,/data/ncd?ncdid=30&ncdver=1
56865,29,04/29/2025,31,1,3,56865,/data/ncd?ncdid=31&ncdver=1
56865,29,04/29/2025,59,1,4,56865,/data/ncd?ncdid=59&ncdver=1
