article_id,article_version,hcpc_modifier_group,paragraph,last_updated
57084,15,1,,03/05/2026
57194,36,1,,03/05/2026
57385,46,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/05/2026
58097,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/05/2026
58229,18,1,,03/05/2026
59177,12,1,,03/05/2026
59246,18,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/05/2026
59468,6,1,,03/05/2026
56034,42,1,,03/04/2026
57149,20,1,,02/27/2026
56159,23,1,,02/27/2026
56464,35,1,,02/27/2026
55835,16,1,,02/27/2026
57049,13,1,,02/27/2026
59215,9,1,,02/27/2026
56462,32,1,,02/27/2026
56461,26,1,,02/27/2026
58121,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
56518,28,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
55601,14,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
57843,12,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
56104,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
57972,12,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
54420,28,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
55116,16,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
54388,35,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/27/2026
57595,20,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/25/2026
57236,22,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
57330,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58975,28,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58185,20,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
57620,9,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,2,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,3,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,4,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,5,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,6,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,7,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,8,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,9,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,10,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,11,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58726,82,12,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
58456,43,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/24/2026
56454,12,1,,02/23/2026
53296,23,1,,02/23/2026
58095,16,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/23/2026
58227,20,1,,02/23/2026
59244,18,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/23/2026
54660,14,1,,02/23/2026
57083,14,1,,02/23/2026
59466,7,1,,02/23/2026
59175,11,1,,02/23/2026
52848,42,1,,02/21/2026
56472,23,1,,02/21/2026
56646,24,1,,02/21/2026
57474,34,1,,02/21/2026
56455,12,1,,02/20/2026
56494,17,1,,02/20/2026
56471,18,1,,02/20/2026
56816,16,1,,02/20/2026
56456,32,1,,02/20/2026
56460,14,1,,02/20/2026
56457,15,1,,02/20/2026
57179,22,1,,02/20/2026
56505,41,1,,02/20/2026
57592,19,1,,02/20/2026
55197,35,1,,02/20/2026
56050,15,1,,02/19/2026
59423,4,1,,02/19/2026
56289,14,1,,02/19/2026
59163,7,1,,02/19/2026
59318,13,1,,02/19/2026
57774,16,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
54424,20,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
54447,26,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
54482,16,1,,02/19/2026
54486,13,1,,02/19/2026
54500,24,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
54976,16,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
55265,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
55295,30,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
55600,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
55602,24,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
55628,14,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
55712,22,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
59642,32,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/19/2026
56565,20,1,,02/14/2026
57484,22,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/11/2026
58120,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
54480,16,1,,02/09/2026
54484,13,1,,02/09/2026
55596,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
55597,24,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
55623,16,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
55624,34,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
57842,11,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
54445,27,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
55264,14,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
56103,14,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
57970,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
54418,28,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,02/09/2026
